Year,STATE,STATEFIPS,COUNTYFIPS,FIPS,State-County Name,TP-TotPop,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl
2005,CA,06,099,06099,California-Stanislaus County,505.505,330.08,0.53,330.61,1127.32,0.00,1127.32,1457.40,0.53,1457.93
2005,CA,06,101,06101,California-Sutter County,88.876,281.41,0.64,282.05,551.67,0.00,551.67,833.08,0.64,833.72
2005,CA,06,103,06103,California-Tehama County,61.197,205.17,0.30,205.47,333.28,0.00,333.28,538.45,0.30,538.75
2005,CA,06,105,06105,California-Trinity County,13.622,4.95,0.07,5.02,16.61,0.00,16.61,21.56,0.07,21.63
2005,CA,06,107,06107,California-Tulare County,410.874,1046.35,0.00,1046.35,1228.61,0.00,1228.61,2274.96,0.00,2274.96
2005,CA,06,109,06109,California-Tuolumne County,59.380,10.29,0.00,10.29,23.55,0.00,23.55,33.84,0.00,33.84
2005,CA,06,111,06111,California-Ventura County,796.106,175.19,8.75,183.94,169.06,845.61,1014.67,344.25,854.36,1198.61
2005,CA,06,113,06113,California-Yolo County,184.932,372.01,0.00,372.01,366.77,0.00,366.77,738.78,0.00,738.78
2005,CA,06,115,06115,California-Yuba County,67.153,81.90,3.23,85.13,266.58,0.01,266.59,348.48,3.24,351.72
2010,CA,06,001,06001,Alameda County,1510.271,42.710,3.420,46.130,208.760,0.000,208.760,251.470,3.420,254.890
2010,CA,06,003,06003,Alpine County,1.175,0.110,0.010,0.120,4.350,0.000,4.350,4.460,0.010,4.470
2010,CA,06,005,06005,Amador County,38.091,7.670,0.000,7.670,24.700,0.000,24.700,32.370,0.000,32.370
2010,CA,06,007,06007,Butte County,220.000,293.040,0.240,293.280,422.050,0.000,422.050,715.090,0.240,715.330
2010,CA,06,009,06009,Calaveras County,45.578,3.260,0.000,3.260,20.130,0.000,20.130,23.390,0.000,23.390
2010,CA,06,011,06011,Colusa County,21.419,130.760,0.000,130.760,704.260,0.000,704.260,835.020,0.000,835.020
2010,CA,06,013,06013,Contra Costa County,1049.025,20.430,0.500,20.930,232.300,49.500,281.800,252.730,50.000,302.730
2010,CA,06,015,06015,Del Norte County,28.610,12.930,0.010,12.940,0.730,0.000,0.730,13.660,0.010,13.670
2010,CA,06,017,06017,El Dorado County,181.058,12.650,0.030,12.680,43.050,0.000,43.050,55.700,0.030,55.730
2010,CA,06,019,06019,Fresno County,930.450,921.250,7.060,928.310,1884.930,0.000,1884.930,2806.180,7.060,2813.240
2010,CA,06,021,06021,Glenn County,28.122,230.840,0.260,231.100,375.530,0.000,375.530,606.370,0.260,606.630
2010,CA,06,023,06023,Humboldt County,134.623,41.750,0.150,41.900,16.010,56.070,72.080,57.760,56.220,113.980
2010,CA,06,025,06025,Imperial County,174.528,36.350,0.000,36.350,1132.890,0.000,1132.890,1169.240,0.000,1169.240
2010,CA,06,027,06027,Inyo County,18.546,70.120,9.480,79.600,31.970,0.000,31.970,102.090,9.480,111.570
2010,CA,06,029,06029,Kern County,839.631,973.400,88.390,1061.790,1098.100,0.000,1098.100,2071.500,88.390,2159.890
2010,CA,06,031,06031,Kings County,152.982,542.090,0.020,542.110,756.740,0.000,756.740,1298.830,0.020,1298.850
2010,CA,06,033,06033,Lake County,64.665,28.650,7.060,35.710,15.140,0.000,15.140,43.790,7.060,50.850
2010,CA,06,035,06035,Lassen County,34.895,65.460,0.050,65.510,137.100,0.000,137.100,202.560,0.050,202.610
2010,CA,06,037,06037,Los Angeles County,9818.605,794.640,95.430,890.070,812.680,1361.260,2173.940,1607.320,1456.690,3064.010
2010,CA,06,039,06039,Madera County,150.865,383.110,0.000,383.110,365.600,0.000,365.600,748.710,0.000,748.710
2010,CA,06,041,06041,Marin County,252.409,8.470,0.050,8.520,34.330,0.000,34.330,42.800,0.050,42.850
2010,CA,06,043,06043,Mariposa County,18.251,4.430,0.000,4.430,0.890,0.000,0.890,5.320,0.000,5.320
2010,CA,06,045,06045,Mendocino County,87.841,37.990,0.070,38.060,43.470,0.000,43.470,81.460,0.070,81.530
2010,CA,06,047,06047,Merced County,255.793,462.550,0.360,462.910,1031.760,0.000,1031.760,1494.310,0.360,1494.670
2010,CA,06,049,06049,Modoc County,9.686,65.050,0.020,65.070,196.460,0.000,196.460,261.510,0.020,261.530
